IDNUM,PROV,ESTRATOPRI,apoyo_golpe,apoyo_cierre,lider_fuerte,limitar_oposicion,cinismo_democ,prioridad_seguridad,victima_delito,percep_inseguridad,sexo_mujer,educacion_anos,ingresos_rango
6388,1115,1103,0,0,2,1,1,0,0,2,0,6,1115
2455,1115,1103,0,0,4,2,1,0,0,2,0,6,1115
1702,1115,1103,0,0,2,3,4,1,1,3,0,6,1109
6730,1115,1103,0,0,4,1,1,0,0,1,0,5,1115
2807,1115,1103,1,0,2,5,1,0,0,4,1,6,1113
5842,1115,1103,0,0,2,4,3,0,1,4,1,5,1115
3340,1115,1103,1,0,2,1,1,0,0,4,0,6,1115
5419,1115,1103,1,0,3,5,1,0,0,2,1,6,1112
4706,1115,1103,0,0,4,3,1,0,1,4,0,5,1106
3741,1115,1103,0,0,2,4,3,1,1,2,1,5,1114
6348,1115,1103,1,0,3,4,4,0,0,2,1,6,1113
2292,1115,1103,1,0,1,4,2,1,0,4,1,4,1106
8789,1115,1103,0,0,1,1,3,1,0,2,1,4,1105
8819,1120,1101,0,0,3,1,7,0,0,1,1,1,1106
9346,1120,1101,0,0,2,4,1,0,0,1,0,6,1115
1421,1120,1101,0,0,2,2,3,0,0,2,0,6,1106
2207,1120,1101,1,1,1,1,4,0,0,4,1,6,1105
7856,1120,1101,1,0,1,1,1,0,1,4,1,5,1103
6228,1120,1101,0,0,3,3,3,0,1,2,0,6,1115
4265,1120,1101,0,0,3,7,1,0,0,1,0,5,1114
7739,1120,1101,1,1,3,4,4,0,0,4,1,5,1106
1621,1120,1101,1,0,2,4,6,0,1,2,0,5,1111
8001,1120,1101,0,0,1,1,7,0,0,4,1,4,1111
9898,1120,1101,0,0,4,1,4,0,0,2,0,4,1102
3524,1120,1101,1,0,3,1,5,0,1,2,1,6,1105
8129,1120,1101,0,1,4,4,5,0,1,2,1,6,1111
8377,1115,1103,0,1,4,5,3,0,0,1,0,4,1109
9665,1115,1103,1,0,2,3,5,1,1,3,1,4,1105
2006,1115,1103,0,0,5,4,2,0,1,1,0,5,1110
9494,1115,1103,0,1,4,6,5,0,1,3,1,4,1105
2723,1115,1103,0,0,1,2,1,0,0,3,0,6,1106
4876,1115,1103,1,0,3,1,5,0,1,4,1,3,1107
2212,1115,1103,0,0,3,4,2,0,0,2,0,3,1105
1992,1115,1103,0,0,2,3,6,0,0,4,0,3,1106
1284,1115,1103,0,0,1,2,3,0,1,4,1,5,1107
2197,1115,1103,1,0,3,3,3,0,0,3,1,6,1105
239,1115,1103,1,0,3,4,4,1,0,3,0,6,1106
3802,1115,1103,1,1,2,4,4,0,1,4,1,4,1108
5652,1115,1103,1,0,3,1,6,0,0,2,0,4,1106
3910,1115,1103,1,1,3,4,3,0,1,3,1,5,1111
4816,1113,1101,0,0,3,4,6,1,1,4,1,6,1108
2005,1113,1101,0,0,2,2,2,0,0,3,0,4,1108
6320,1113,1101,0,1,2,3,4,0,0,4,1,3,1102
1089,1113,1101,0,1,4,2,5,0,1,3,0,6,1112
6148,1113,1101,1,0,4,3,5,1,0,3,1,2,1107
1518,1113,1101,0,0,3,4,3,0,0,1,0,6,1112
4536,1112,1105,1,0,3,2,6,0,1,3,0,4,1101
4376,1119,1105,0,0,3,3,3,1,0,3,1,6,1104
3914,1112,1105,0,0,3,5,6,0,0,2,1,3,1101
8534,1119,1105,1,1,2,3,7,0,0,3,0,4,1108
8865,1112,1105,1,1,5,2,1,0,0,1,0,1,1101
4947,1112,1105,0,1,3,1,7,0,0,3,0,6,1112
1361,1119,1105,1,0,4,1,7,0,1,1,1,2,1102
1377,1119,1105,0,0,2,7,1,0,0,4,1,6,1107
3281,1112,1105,0,1,2,2,4,0,1,3,1,6,1101
832,1119,1105,1,1,3,2,4,0,0,2,0,4,1106
3924,1119,1105,1,1,2,2,4,0,0,2,0,4,1106
1041,1119,1105,0,0,3,1,3,0,0,2,1,6,1113
721,1119,1105,0,0,3,3,5,0,0,3,0,6,1103
2081,1112,1105,0,1,5,7,4,0,0,2,0,4,1101
6046,1119,1105,1,1,2,4,4,0,0,3,0,5,1102
5879,1112,1105,1,0,1,1,1,0,0,1,0,3,1101
6340,1112,1105,1,0,1,1,4,0,0,2,1,6,1108
6130,1112,1105,0,0,2,7,3,0,0,3,1,4,1102
9249,1119,1105,0,0,3,3,4,1,0,3,1,1,1105
3231,1112,1105,0,0,1,7,1,0,0,3,0,6,1104
4412,1119,1105,0,1,1,3,4,0,0,3,1,4,1105
3685,1119,1105,0,0,3,4,5,0,0,3,0,4,1105
8035,1112,1105,0,0,2,3,4,0,0,3,1,6,1113
8735,1115,1101,1,1,4,6,2,1,0,2,1,6,1105
8660,1115,1101,1,1,3,4,4,1,1,3,0,4,1110
7693,1115,1103,0,0,4,4,1,0,0,2,0,6,1107
9723,1115,1101,0,1,5,5,2,0,1,3,0,6,1102
2217,1115,1101,0,0,2,1,2,0,0,2,1,6,1109
8876,1115,1103,1,1,2,4,4,0,0,3,0,6,1114
7906,1115,1103,1,0,3,3,5,0,0,3,1,4,1107
5576,1115,1103,1,1,2,3,3,0,1,2,1,4,1108
4312,1115,1103,1,1,2,4,4,0,1,4,1,6,1104
5052,1115,1103,0,0,3,7,1,0,0,2,0,3,1110
366,1115,1103,1,1,5,2,2,0,0,4,1,5,1106
3678,1115,1103,0,1,2,5,4,0,0,4,0,4,1108
5386,1115,1103,1,0,3,5,1,0,0,3,0,4,1101
9130,1115,1101,0,0,3,2,1,1,0,2,0,4,1102
339,1115,1101,0,0,2,4,5,0,0,2,0,3,1109
1476,1115,1101,0,0,2,7,4,0,1,3,1,4,1101
5636,1115,1101,0,0,2,4,1,1,0,2,1,6,1114
4283,1115,1101,1,0,2,3,4,1,0,3,1,4,1107
6287,1115,1103,1,1,2,4,5,1,0,2,1,4,1107
5597,1115,1103,1,0,3,4,3,0,1,3,0,5,1111
5864,1115,1101,1,1,2,4,6,0,0,1,1,3,1105
8402,1115,1101,0,1,2,5,3,1,0,3,0,3,1103
1713,1115,1101,0,0,1,5,7,0,0,2,0,4,1108
833,1111,1102,0,0,1,5,4,0,1,3,0,6,1103
6270,1111,1102,1,1,3,7,4,0,0,3,1,5,1107
8007,1111,1102,0,0,2,3,5,0,0,3,0,6,1106
9371,1111,1102,0,0,2,1,4,0,0,4,1,5,1108
9208,1111,1102,1,0,4,5,3,0,0,2,0,6,1107
6455,1114,1101,1,0,4,6,3,1,0,2,1,5,1114
4018,1114,1101,1,1,2,7,2,0,0,4,1,1,1101
564,1114,1101,1,0,3,2,2,0,0,3,1,5,1107
7773,1114,1101,0,0,2,1,1,0,0,4,0,6,1115
2830,1114,1101,1,0,4,2,5,0,0,3,0,6,1107
3668,1114,1101,0,1,1,1,7,0,1,4,1,6,1113
4544,1114,1101,1,1,2,6,4,0,0,1,0,4,1102
9070,1114,1101,1,1,1,4,5,0,1,1,1,3,1101
9573,1114,1101,0,0,2,1,5,0,0,2,0,5,1114
3547,1114,1101,0,0,3,3,2,0,0,3,1,6,1104
9235,1114,1101,0,0,2,3,1,0,0,2,0,6,1108
3907,1115,1103,0,0,3,5,2,1,0,4,1,6,1112
8317,1115,1103,0,0,5,1,1,0,0,3,0,6,1114
3503,1115,1103,0,0,1,5,4,1,1,4,0,4,1105
3440,1115,1103,0,0,5,2,5,0,1,4,0,6,1115
5900,1115,1103,0,1,2,4,3,0,1,2,0,6,1110
7934,1115,1103,1,0,3,1,3,1,0,3,1,3,1103
286,1115,1103,0,0,2,1,4,1,1,3,0,6,1112
5754,1115,1103,1,0,3,3,4,0,0,4,1,4,1104
450,1115,1103,0,0,1,1,2,0,1,4,0,6,1114
779,1115,1103,1,0,4,4,4,0,0,2,0,5,1105
9558,1115,1103,1,1,1,1,1,0,0,3,1,6,1106
7807,1115,1103,1,0,1,3,4,0,0,3,0,4,1105
6722,1115,1103,0,0,3,2,2,1,0,3,1,6,1112
27,1115,1103,0,1,4,4,3,1,0,2,1,6,1106
2463,1115,1103,0,0,1,4,3,0,0,4,1,6,1110
738,1115,1103,1,0,1,1,3,0,1,2,0,4,1112
1480,1115,1103,0,1,4,6,1,0,1,4,1,5,1110
9593,1115,1103,1,0,3,5,2,0,1,4,1,4,1108
8559,1115,1103,0,0,1,1,2,0,1,2,1,6,1112
9215,1115,1103,0,0,4,4,6,0,0,2,0,4,1112
9841,1115,1103,0,0,2,1,6,1,1,4,0,6,1113
9799,1115,1103,0,1,2,4,2,0,0,2,1,4,1111
5157,1115,1103,1,0,3,2,3,0,0,2,1,4,1104
7098,1115,1103,0,1,2,1,7,0,0,2,0,6,1115
9048,1116,1104,1,1,3,2,1,0,0,3,0,5,1107
2176,1116,1104,1,1,3,4,2,0,0,4,0,4,1106
9765,1116,1104,1,0,1,6,3,0,0,3,1,3,1102
9313,1116,1104,1,1,2,4,6,0,1,4,0,5,1109
6506,1116,1104,1,1,2,2,2,0,1,4,1,4,1101
5114,1116,1104,0,0,2,3,4,0,0,4,0,2,1101
7055,1116,1104,1,1,1,5,4,0,0,3,1,4,1104
910,1116,1104,0,0,3,4,3,0,0,1,1,4,1101
7976,1116,1104,0,0,2,3,1,0,0,2,0,4,1106
8232,1108,1107,1,1,1,6,4,0,1,4,1,6,1112
2344,1108,1107,1,0,4,4,3,0,0,2,0,6,1104
6685,1108,1107,0,1,5,4,5,0,0,3,1,4,1109
776,1108,1107,0,1,4,6,4,0,0,1,0,1,1101
3795,1108,1107,0,0,3,2,1,0,0,2,0,5,1107
2653,1108,1107,0,1,2,5,7,0,0,3,0,1,1102
7262,1108,1107,0,0,3,5,3,0,1,3,0,4,1102
3089,1108,1107,1,0,4,1,7,0,0,3,1,4,1101
111,1108,1107,0,0,2,5,2,0,0,3,1,6,1108
4503,1108,1107,0,1,3,4,5,0,0,2,1,6,1109
9619,1108,1107,1,1,3,1,7,0,0,3,1,2,1104
6598,1108,1107,1,0,3,5,3,0,0,4,1,4,1106
2760,1108,1107,0,0,3,1,5,0,1,2,0,6,1115
8169,1108,1107,0,0,2,4,1,0,0,1,0,6,1112
3506,1108,1107,0,0,2,2,3,0,1,2,0,6,1111
8113,1108,1107,1,1,4,4,1,0,0,2,1,4,1107
4075,1108,1107,0,0,3,5,4,0,0,2,0,5,1110
4618,1122,1104,0,0,3,4,5,0,0,2,1,4,1106
2765,1116,1104,0,0,3,2,4,0,0,2,1,4,1104
8734,1116,1104,0,0,2,4,5,0,0,3,1,4,1102
5982,1122,1104,0,0,1,1,6,0,0,3,0,3,1103
1675,1116,1104,0,0,1,7,1,0,0,2,0,6,1108
3185,1116,1104,0,0,5,3,1,0,0,1,0,6,1113
4037,1122,1104,0,0,4,2,5,0,0,2,1,4,1105
7398,1122,1104,0,1,1,4,2,0,0,1,1,1,1102
9572,1116,1104,0,0,3,4,3,0,1,3,0,5,1112
8275,1122,1104,1,0,4,7,5,0,1,1,0,3,1106
5434,1122,1104,0,1,3,2,3,0,0,1,0,2,1103
2477,1116,1104,1,0,4,2,2,0,0,3,0,4,1110
7099,1122,1104,0,1,2,4,2,0,0,3,0,4,1103
9058,1122,1104,1,1,3,5,3,0,0,4,0,4,1106
1655,1122,1104,0,1,3,4,3,0,0,2,1,6,1106
773,1122,1104,0,0,3,4,4,0,1,2,0,4,1104
4131,1122,1104,0,1,4,4,5,0,0,1,1,3,1104
2228,1122,1104,0,0,3,2,5,0,0,3,0,6,1113
4577,1116,1104,0,0,4,4,3,0,0,2,1,6,1112
3508,1122,1104,1,0,1,5,3,0,1,4,1,4,1105
5979,1116,1104,0,1,3,3,1,0,1,2,0,4,1114
7142,1116,1104,1,1,4,5,3,0,0,3,0,3,1106
3726,1122,1104,0,1,4,3,3,0,0,1,0,4,1106
8901,1110,1105,0,0,2,1,7,0,0,4,1,2,1101
1905,1110,1105,0,1,1,5,1,0,0,3,1,6,1104
3767,1110,1105,0,0,3,1,1,0,0,4,1,5,1101
5194,1110,1105,1,0,3,3,4,0,1,4,0,5,1103
4264,1110,1105,1,1,4,5,6,0,0,2,0,6,1108
2323,1110,1105,0,0,3,4,5,0,0,3,0,6,1108
1000,1110,1105,1,1,4,2,4,0,0,3,1,4,1107
4855,1110,1105,1,0,3,4,4,0,0,3,0,6,1112
8752,1110,1105,0,0,3,2,4,0,0,3,1,6,1108
335,1110,1105,1,1,3,2,2,1,0,3,0,4,1110
1114,1110,1105,0,1,2,5,1,0,1,4,1,4,1104
1978,1115,1103,0,1,5,1,1,0,0,3,0,4,1112
3987,1115,1103,0,0,1,6,2,0,0,1,0,4,1105
2999,1115,1103,0,0,2,1,4,0,1,3,1,5,1113
48,1115,1103,0,0,3,5,3,0,1,2,1,5,1109
659,1115,1103,0,0,2,1,1,0,0,3,0,4,1110
4363,1115,1103,0,0,2,4,3,0,0,3,1,6,1115
7661,1115,1103,0,0,3,1,6,1,0,4,1,3,1104
2516,1115,1103,1,0,2,3,1,0,1,4,1,5,1106
4539,1115,1103,1,0,2,4,1,0,0,2,0,5,1113
6883,1115,1103,1,1,1,1,1,0,1,3,0,6,1109
6484,1115,1103,1,1,3,3,4,0,0,3,1,4,1105
8442,1115,1103,0,0,3,3,3,0,0,2,0,6,1115
2222,1114,1101,0,0,2,3,6,0,1,4,0,2,1104
3645,1114,1101,0,0,4,4,3,0,1,4,1,1,1101
4111,1114,1101,0,0,1,7,1,0,0,3,1,6,1115
9185,1103,1107,0,1,2,7,2,0,0,4,0,1,1101
1608,1103,1107,0,0,3,3,6,0,0,3,0,4,1109
8445,1103,1107,0,0,1,3,5,0,0,2,0,6,1115
1409,1103,1107,0,0,4,1,7,0,1,1,0,5,1106
8723,1103,1107,0,1,3,6,4,0,1,2,1,5,1103
7803,1103,1107,0,0,2,3,5,0,0,3,1,4,1112
2775,1103,1107,1,1,3,1,2,0,0,1,1,6,1107
8049,1103,1107,0,0,3,3,6,0,0,2,1,2,1102
2563,1103,1107,1,0,1,4,2,0,0,3,0,5,1107
6471,1103,1107,1,0,4,3,3,0,1,2,0,6,1112
1635,1103,1107,1,0,2,7,1,0,0,2,1,6,1108
2905,1103,1107,1,0,3,1,3,0,0,2,0,5,1109
5446,1113,1101,0,0,2,3,3,0,0,3,1,4,1102
1353,1113,1101,0,0,2,4,2,0,1,4,0,5,1110
6796,1113,1101,1,0,3,1,3,0,0,2,1,3,1106
9760,1113,1101,0,1,3,3,6,0,0,2,0,3,1101
885,1113,1101,0,0,2,3,2,0,1,3,0,6,1110
6744,1113,1101,1,0,3,2,7,0,1,3,1,3,1102
976,1116,1104,1,1,2,2,3,0,1,3,0,4,1101
298,1116,1104,1,0,2,4,3,0,1,1,0,6,1105
9262,1116,1104,1,0,2,7,3,0,0,4,0,3,1103
3306,1116,1104,1,0,3,4,4,0,1,1,1,1,1102
9743,1116,1104,0,1,4,3,5,0,0,3,0,5,1108
9848,1116,1104,1,0,2,4,4,0,0,4,1,5,1103
9659,1116,1104,1,0,2,5,4,0,0,3,1,6,1113
6801,1116,1104,0,1,2,2,5,0,0,2,1,3,1101
1861,1116,1104,0,1,3,6,4,0,0,4,1,3,1104
874,1115,1103,0,0,3,6,4,0,1,2,0,4,1105
9087,1115,1103,0,0,2,3,2,1,1,2,1,5,1103
1538,1115,1103,0,1,3,2,7,0,1,3,0,3,1107
3674,1115,1103,1,1,3,2,4,0,1,4,1,6,1114
8236,1115,1103,0,0,3,3,4,0,0,3,0,4,1108
1276,1115,1103,1,1,2,4,4,0,0,3,1,6,1112
6742,1115,1103,0,0,1,1,7,0,0,3,1,5,1109
8639,1115,1103,1,0,2,4,4,0,1,2,1,4,1103
4465,1115,1103,0,0,2,4,3,0,1,4,0,6,1113
3778,1115,1103,1,0,5,1,4,0,0,2,0,4,1104
8764,1115,1103,1,0,3,3,2,1,0,4,1,5,1110
1730,1115,1101,1,0,3,4,2,0,1,4,1,6,1113
7160,1115,1103,0,0,1,2,5,0,1,3,0,4,1112
7426,1115,1103,0,1,1,2,5,0,1,3,0,3,1103
5993,1115,1103,1,1,4,5,1,0,1,4,0,4,1105
5472,1115,1103,1,1,1,4,4,0,1,3,0,4,1109
8363,1115,1101,0,0,2,1,5,0,0,4,1,4,1107
4640,1115,1103,0,0,4,2,6,0,1,4,0,5,1108
9485,1115,1101,0,0,3,4,6,1,1,2,1,6,1111
2066,1115,1101,0,1,2,3,3,0,0,3,0,3,1103
3684,1115,1101,1,0,2,5,1,0,0,2,0,5,1107
1223,1115,1101,0,1,1,1,3,0,0,3,0,6,1102
1555,1115,1101,1,0,4,4,4,0,0,3,1,4,1105
2086,1115,1103,1,1,3,4,2,0,1,4,1,3,1105
797,1115,1101,0,0,1,1,4,0,1,2,0,5,1110
9864,1115,1103,1,1,1,4,4,0,0,4,1,4,1106
201,1115,1101,1,1,3,4,3,0,0,3,1,5,1105
6829,1115,1103,1,0,1,2,3,0,1,1,1,1,1107
8410,1115,1103,1,0,4,3,6,0,1,4,1,4,1104
4073,1115,1103,1,1,2,4,3,0,1,2,0,3,1110
