id,departamento,region_macro,actitud_lider,actitud_oposicion,actitud_cinismo,golpe_raw,actitud_golpe,cierre_raw,actitud_cierre,prioriza_seguridad,miedo_barrio,victima_crimen,confianza_policia,mujer,educacion,ingresos
7661,Lima,Lima Metropolitana,3,1,6,2,0,2,0,1,4,0,1,1,3,1104
2516,Lima,Lima Metropolitana,2,3,1,1,1,2,0,0,4,1,1,1,5,1106
4539,Lima,Lima Metropolitana,2,4,1,1,1,2,0,0,2,0,1,0,5,1113
6883,Lima,Lima Metropolitana,1,1,1,1,1,1,1,0,3,1,4,0,6,1109
6484,Lima,Lima Metropolitana,3,3,4,1,1,1,1,0,3,0,3,1,4,1105
8442,Lima,Lima Metropolitana,3,3,3,2,0,2,0,0,2,0,6,0,6,1115
2222,Lambayeque,Costa Norte,2,3,6,2,0,2,0,0,4,1,5,0,2,1104
3645,Lambayeque,Costa Norte,4,4,3,2,0,2,0,0,4,1,7,1,1,1101
4111,Lambayeque,Costa Norte,1,7,1,2,0,2,0,0,3,0,3,1,6,1115
9185,Apurímac,Sierra Sur,2,7,2,2,0,1,1,0,4,0,5,0,1,1101
1608,Apurímac,Sierra Sur,3,3,6,2,0,2,0,0,3,0,3,0,4,1109
8445,Apurímac,Sierra Sur,1,3,5,2,0,2,0,0,2,0,2,0,6,1115
1409,Apurímac,Sierra Sur,4,1,7,2,0,2,0,0,1,1,3,0,5,1106
8723,Apurímac,Sierra Sur,3,6,4,2,0,1,1,0,2,1,3,1,5,1103
7803,Apurímac,Sierra Sur,2,3,5,2,0,2,0,0,3,0,1,1,4,1112
2775,Apurímac,Sierra Sur,3,1,2,1,1,1,1,0,1,0,4,1,6,1107
8049,Apurímac,Sierra Sur,3,3,6,2,0,2,0,0,2,0,3,1,2,1102
2563,Apurímac,Sierra Sur,1,4,2,1,1,2,0,0,3,0,6,0,5,1107
6471,Apurímac,Sierra Sur,4,3,3,1,1,2,0,0,2,1,3,0,6,1112
1635,Apurímac,Sierra Sur,2,7,1,1,1,2,0,0,2,0,1,1,6,1108
2905,Apurímac,Sierra Sur,3,1,3,1,1,2,0,0,2,0,5,0,5,1109
5446,La Libertad,Costa Norte,2,3,3,2,0,2,0,0,3,0,3,1,4,1102
1353,La Libertad,Costa Norte,2,4,2,2,0,2,0,0,4,1,1,0,5,1110
6796,La Libertad,Costa Norte,3,1,3,1,1,2,0,0,2,0,5,1,3,1106
9760,La Libertad,Costa Norte,3,3,6,2,0,1,1,0,2,0,2,0,3,1101
885,La Libertad,Costa Norte,2,3,2,2,0,2,0,0,3,1,6,0,6,1110
6744,La Libertad,Costa Norte,3,2,7,1,1,2,0,0,3,1,3,1,3,1102
976,Loreto,Selva,2,2,3,1,1,1,1,0,3,1,6,0,4,1101
298,Loreto,Selva,2,4,3,1,1,2,0,0,1,1,4,0,6,1105
9262,Loreto,Selva,2,7,3,1,1,2,0,0,4,0,6,0,3,1103
3306,Loreto,Selva,3,4,4,1,1,2,0,0,1,1,7,1,1,1102
9743,Loreto,Selva,4,3,5,2,0,1,1,0,3,0,4,0,5,1108
9848,Loreto,Selva,2,4,4,1,1,2,0,0,4,0,6,1,5,1103
9659,Loreto,Selva,2,5,4,1,1,2,0,0,3,0,4,1,6,1113
6801,Loreto,Selva,2,2,5,2,0,1,1,0,2,0,5,1,3,1101
1861,Loreto,Selva,3,6,4,2,0,1,1,0,4,0,3,1,3,1104
3819,Loreto,Selva,4,5,3,1,1,2,0,1,,0,4,0,2,1103
5606,Lima,Lima Metropolitana,2,2,2,2,0,2,0,0,,0,6,0,2,
874,Lima,Lima Metropolitana,3,6,4,2,0,2,0,0,2,1,1,0,4,1105
9087,Lima,Lima Metropolitana,2,3,2,2,0,2,0,1,2,1,6,1,5,1103
1538,Lima,Lima Metropolitana,3,2,7,2,0,1,1,0,3,1,1,0,3,1107
3674,Lima,Lima Metropolitana,3,2,4,1,1,1,1,0,4,1,2,1,6,1114
8236,Lima,Lima Metropolitana,3,3,4,2,0,2,0,0,3,0,5,0,4,1108
1276,Lima,Lima Metropolitana,2,4,4,1,1,1,1,0,3,0,3,1,6,1112
6742,Lima,Lima Metropolitana,1,1,7,2,0,2,0,0,3,0,6,1,5,1109
8639,Lima,Lima Metropolitana,2,4,4,1,1,2,0,0,2,1,7,1,4,1103
4465,Lima,Lima Metropolitana,2,4,3,2,0,2,0,0,4,1,5,0,6,1113
3778,Lima,Lima Metropolitana,5,1,4,1,1,2,0,0,2,0,7,0,4,1104
8764,Lima,Lima Metropolitana,3,3,2,1,1,2,0,1,4,0,3,1,5,1110
1730,Lima,Costa Norte,3,4,2,1,1,2,0,0,4,1,4,1,6,1113
3198,Lima,Lima Metropolitana,2,5,5,1,1,2,0,0,3,0,5,0,1,
1327,Lima,Lima Metropolitana,3,2,6,2,0,2,0,0,4,0,2,1,4,
7160,Lima,Lima Metropolitana,1,2,5,2,0,2,0,0,3,1,2,0,4,1112
7426,Lima,Lima Metropolitana,1,2,5,2,0,1,1,0,3,1,1,0,3,1103
5993,Lima,Lima Metropolitana,4,5,1,1,1,1,1,0,4,1,2,0,4,1105
5472,Lima,Lima Metropolitana,1,4,4,1,1,1,1,0,3,1,3,0,4,1109
8363,Lima,Costa Norte,2,1,5,2,0,2,0,0,4,0,5,1,4,1107
2107,Lima,Lima Metropolitana,2,4,3,1,1,2,0,0,3,0,2,1,3,
4640,Lima,Lima Metropolitana,4,2,6,2,0,2,0,0,4,1,3,0,5,1108
9485,Lima,Costa Norte,3,4,6,2,0,2,0,1,2,1,5,1,6,1111
2066,Lima,Costa Norte,2,3,3,2,0,1,1,0,3,0,4,0,3,1103
3684,Lima,Costa Norte,2,5,1,1,1,2,0,0,2,0,3,0,5,1107
1223,Lima,Costa Norte,1,1,3,2,0,1,1,0,3,0,2,0,6,1102
1991,Lima,Costa Norte,1,4,3,2,0,1,1,0,3,0,1,0,5,
1555,Lima,Costa Norte,4,4,4,1,1,2,0,0,3,0,6,1,4,1105
2086,Lima,Lima Metropolitana,3,4,2,1,1,1,1,0,4,1,5,1,3,1105
797,Lima,Costa Norte,1,1,4,2,0,2,0,0,2,1,1,0,5,1110
9864,Lima,Lima Metropolitana,1,4,4,1,1,1,1,0,4,0,4,1,4,1106
201,Lima,Costa Norte,3,4,3,1,1,1,1,0,3,0,4,1,5,1105
